Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
NELFCD;NELFD;TH1;TH1L;HSPC130,NELFCD,reviewed,Homo sapiens (Human),Q8IXH7
STRN4,STRN4,unreviewed,Homo sapiens (Human),M0QXN2
THOC5,THOC5,unreviewed,Homo sapiens (Human),H7C441
C15orf38-AP3S2,C15orf38-AP3S2,unreviewed,Homo sapiens (Human),A0A0A6YYH1
Vasp,Vasp,unreviewed,Rattus norvegicus (Rat),F7EWC1
HCK,HCK,unreviewed,Homo sapiens (Human),J3KPD6
SLC7A11,SLC7A11,unreviewed,Homo sapiens (Human),H0Y9F9
PRSS47P;PRSS47,PRSS47P,reviewed,Homo sapiens (Human),A8MTI9
SYAP1;PRO3113,SYAP1,reviewed,Homo sapiens (Human),Q96A49
TMEM222,TMEM222,unreviewed,Homo sapiens (Human),Q8TDQ4
MEMO1;C2orf4;MEMO;NS5ATP7;CGI-27,MEMO1,reviewed,Homo sapiens (Human),Q9Y316
SPON2,SPON2,unreviewed,Homo sapiens (Human),D6RA41
RNMT,RNMT,unreviewed,Homo sapiens (Human),K7EPP5
Setd7;rCG_49977,Setd7,unreviewed,Rattus norvegicus (Rat),D4ADE5
WDR48,WDR48,unreviewed,Homo sapiens (Human),F8W6P2
GOLGA1,GOLGA1,unreviewed,Homo sapiens (Human),R4GNH1
Aldh7a1;Ald7a1,Aldh7a1,reviewed,Rattus norvegicus (Rat),Q64057
ACP1;hCG_1784797,ACP1,unreviewed,Homo sapiens (Human),G5E9R5
SPDL1,SPDL1,unreviewed,Homo sapiens (Human),D6RIF7
GPRC5C,GPRC5C,unreviewed,Homo sapiens (Human),J9JIE0
CYP4V2,CYP4V2,reviewed,Homo sapiens (Human),Q6ZWL3
KCNMA1,KCNMA1,unreviewed,Homo sapiens (Human),A0A1W2PP94
CYB561D2;101F6;LUCA12.2,CYB561D2,reviewed,Homo sapiens (Human),O14569
PTMS,PTMS,reviewed,Homo sapiens (Human),P20962
NUDT15;MTH2,NUDT15,reviewed,Homo sapiens (Human),Q9NV35
Dpf2,Dpf2,unreviewed,Rattus norvegicus (Rat),G3V8U3
ARSB,ARSB,reviewed,Homo sapiens (Human),P15848
MYLK;MLCK;MLCK1;MYLK1,MYLK,reviewed,Homo sapiens (Human),Q15746
BNC2,BNC2,unreviewed,Homo sapiens (Human),H0Y4J1
RXRA;NR2B1,RXRA,reviewed,Homo sapiens (Human),P19793
SPDL1,SPDL1,unreviewed,Homo sapiens (Human),H0YBG5
CASP6;MCH2,CASP6,reviewed,Homo sapiens (Human),P55212
NUP58,NUP58,unreviewed,Homo sapiens (Human),Q5JRG1
LARP1,LARP1,unreviewed,Homo sapiens (Human),E5RHK4
Cstb;Cst6,Cstb,reviewed,Rattus norvegicus (Rat),P01041
PTPA,PTPA,unreviewed,Homo sapiens (Human),A6PVN5
BLOC1S6,BLOC1S6,unreviewed,Homo sapiens (Human),H3BNE3
RAC2;hCG_1811995,RAC2,unreviewed,Homo sapiens (Human),B1AH80
IGKV2-40,IGKV2-40,reviewed,Homo sapiens (Human),A0A087WW87
JPT2,JPT2,unreviewed,Homo sapiens (Human),H3BMV3
APOO;MGC4825;hCG_1811488,APOO,unreviewed,Homo sapiens (Human),G3V1B6
PYCR1;hCG_38803,PYCR1,unreviewed,Homo sapiens (Human),J3QL32
Mtss1;Mtss1_predicted;rCG_59585,Mtss1,unreviewed,Rattus norvegicus (Rat),D3ZYM5
MRI1;MRDI;UNQ6390/PRO21135,MRI1,reviewed,Homo sapiens (Human),Q9BV20
CTNNA1,CTNNA1,unreviewed,Homo sapiens (Human),H0YBB8
DDX5,DDX5,unreviewed,Homo sapiens (Human),J3QRQ7
ARPC5L,ARPC5L,reviewed,Homo sapiens (Human),Q9BPX5
MICA,MICA,unreviewed,Homo sapiens (Human),H0Y615
LOC298111;LOC120102889,LOC298111,unreviewed,Rattus norvegicus (Rat),A0A096MIX6
Stk25;rCG_55472,Stk25,unreviewed,Rattus norvegicus (Rat),Q6V9V9
NAF1,NAF1,reviewed,Homo sapiens (Human),Q96HR8
DMTN,DMTN,unreviewed,Homo sapiens (Human),E5RGQ7
MRPS9;RPMS9,MRPS9,reviewed,Homo sapiens (Human),P82933
RIMOC1;C5orf51,RIMOC1,reviewed,Homo sapiens (Human),A6NDU8
Rbm6;RGD1560367_predicted;rCG_25645,Rbm6,unreviewed,Rattus norvegicus (Rat),D4ACW0
FKBP2,FKBP2,unreviewed,Homo sapiens (Human),A0A494C1N0
CLCA1;CACC1,CLCA1,reviewed,Homo sapiens (Human),A8K7I4
MRPS11;RPMS11;HCC2,MRPS11,reviewed,Homo sapiens (Human),P82912
Lsm12;RGD1309441_predicted;rCG_35495,Lsm12,unreviewed,Rattus norvegicus (Rat),D4A8G0
BTBD11,BTBD11,reviewed,Homo sapiens (Human),A6QL63
GIT2,GIT2,unreviewed,Homo sapiens (Human),F8VXI9
ATP5F1EP2;ATP5EP2,ATP5F1EP2,reviewed,Homo sapiens (Human),Q5VTU8
SPRR2F,SPRR2F,reviewed,Homo sapiens (Human),Q96RM1
CD47,CD47,unreviewed,Homo sapiens (Human),A0A2R8Y484
Tmed2;Rnp24,Tmed2,reviewed,Rattus norvegicus (Rat),Q63524
FLII;FLIL,FLII,reviewed,Homo sapiens (Human),Q13045
BET1L,BET1L,unreviewed,Homo sapiens (Human),E9PHY4
HP,HP,unreviewed,Homo sapiens (Human),H3BS21
TMEM87A;PSEC0094,TMEM87A,reviewed,Homo sapiens (Human),Q8NBN3
DCPS,DCPS,unreviewed,Homo sapiens (Human),A0A3B3ITF0
TVP23B,TVP23B,unreviewed,Homo sapiens (Human),J3KS67
Hbe1;epsilon;1;Glnb1;rCG_39817,Hbe1,unreviewed,Rattus norvegicus (Rat),O88752
Srgap2,Srgap2,unreviewed,Rattus norvegicus (Rat),A0A0G2JZ92
PRMT5,PRMT5,unreviewed,Homo sapiens (Human),H7BZ44
C1RL,C1RL,unreviewed,Homo sapiens (Human),F5GWF3
DNAJC6,DNAJC6,unreviewed,Homo sapiens (Human),S4R305
Fhl1,Fhl1,reviewed,Rattus norvegicus (Rat),Q9WUH4
Chtopl1,Chtopl1,unreviewed,Rattus norvegicus (Rat),M0RDD7
Rab27b,Rab27b,reviewed,Rattus norvegicus (Rat),Q99P74
DDX24,DDX24,unreviewed,Homo sapiens (Human),F5GYL3
TFRC;hCG_22086,TFRC,unreviewed,Homo sapiens (Human),G3V0E5
LZTR1,LZTR1,unreviewed,Homo sapiens (Human),A0A2R8Y7K3
LEMD2,LEMD2,unreviewed,Homo sapiens (Human),H7C2Z0
NCSTN,NCSTN,unreviewed,Homo sapiens (Human),H0Y6T7
Timp3;rCG_49172,Timp3,unreviewed,Rattus norvegicus (Rat),Q4V8L0
TM9SF1,TM9SF1,unreviewed,Homo sapiens (Human),E9PL78
LPCAT4;AGPAT7;AYTL3;LPEAT2,LPCAT4,reviewed,Homo sapiens (Human),Q643R3
EI24,EI24,unreviewed,Homo sapiens (Human),E9PLB8
SULF2,SULF2,unreviewed,Homo sapiens (Human),H0Y872
NELFE,NELFE,unreviewed,Homo sapiens (Human),A0A0A0MT02
Arpc2,Arpc2,unreviewed,Rattus norvegicus (Rat),A0A0G2K9A2
HACD3,HACD3,unreviewed,Homo sapiens (Human),H3BMZ1
POLR2D,POLR2D,unreviewed,Homo sapiens (Human),E9PB93
SPAG7,SPAG7,unreviewed,Homo sapiens (Human),I3L0X5
CBFB,CBFB,unreviewed,Homo sapiens (Human),J3KS23
Xpo4,Xpo4,unreviewed,Rattus norvegicus (Rat),D3ZQI6
SIL1,SIL1,unreviewed,Homo sapiens (Human),D6REA1
LANCL1;GPR69A,LANCL1,reviewed,Homo sapiens (Human),O43813
LYRM4,LYRM4,unreviewed,Homo sapiens (Human),H7C4Q5
UBAP1;NAG20,UBAP1,reviewed,Homo sapiens (Human),Q9NZ09
CRK,CRK,reviewed,Homo sapiens (Human),P46108
PSD3,PSD3,unreviewed,Homo sapiens (Human),E5RJ29
KCNMA1,KCNMA1,unreviewed,Homo sapiens (Human),A0A0A0MSE6
GSTM2,GSTM2,unreviewed,Homo sapiens (Human),F6XZQ7
ASAH1,ASAH1,unreviewed,Homo sapiens (Human),E7EMM4
PLTP,PLTP,reviewed,Homo sapiens (Human),P55058
MSRA,MSRA,unreviewed,Homo sapiens (Human),E9PJ70
ERCC3,ERCC3,unreviewed,Homo sapiens (Human),A0A2R8Y5L2
Ncald,Ncald,reviewed,Rattus norvegicus (Rat),Q5PQN0
PMF1-BGLAP,PMF1-BGLAP,unreviewed,Homo sapiens (Human),A0A087WT04
IPO8,IPO8,unreviewed,Homo sapiens (Human),F5H292
Gaa;rCG_33228,Gaa,unreviewed,Rattus norvegicus (Rat),M0R544
DDX55,DDX55,unreviewed,Homo sapiens (Human),F5H5U2
Tlnrd1;Mesdc1;rCG_24594,Tlnrd1,unreviewed,Rattus norvegicus (Rat),Q5BJV3
SPPL2A;IMP3;PSL2;PSEC0147,SPPL2A,reviewed,Homo sapiens (Human),Q8TCT8
SEC23A,SEC23A,unreviewed,Homo sapiens (Human),G3V2R6
EXO1,EXO1,unreviewed,Homo sapiens (Human),E5RGY3
HS1BP3,HS1BP3,unreviewed,Homo sapiens (Human),F8WDN8
IFT20,IFT20,unreviewed,Homo sapiens (Human),J3KRU2
MADD,MADD,unreviewed,Homo sapiens (Human),A0A0A0MRB5
REXO4,REXO4,unreviewed,Homo sapiens (Human),A0A0C4DG31
,,unreviewed,Homo sapiens (Human),B4DFI2
HLA-F,HLA-F,unreviewed,Homo sapiens (Human),A0A140T9V0
NIPBL;IDN3;SCC2,NIPBL,reviewed,Homo sapiens (Human),Q6KC79
TMEM222;C1orf160;hCG_96585,TMEM222,unreviewed,Homo sapiens (Human),H0Y861
Actr8,Actr8,unreviewed,Rattus norvegicus (Rat),D3ZVT1
GPI,GPI,unreviewed,Homo sapiens (Human),K7ERK8
CPS1,CPS1,reviewed,Homo sapiens (Human),P31327
EARS2,EARS2,unreviewed,Homo sapiens (Human),H3BPY3
Hdac2;rCG_19958,Hdac2,unreviewed,Rattus norvegicus (Rat),F7ENH8
IGHD,IGHD,reviewed,Homo sapiens (Human),P01880
ACKR3;CMKOR1;CXCR7;GPR159;RDC1,ACKR3,reviewed,Homo sapiens (Human),P25106
MDN1,MDN1,unreviewed,Homo sapiens (Human),M0QXR3
USP8,USP8,unreviewed,Homo sapiens (Human),H0YLS3
NFIX,NFIX,unreviewed,Homo sapiens (Human),K7EJB0
ABI3BP,ABI3BP,unreviewed,Homo sapiens (Human),H7C5S3
NEDD1,NEDD1,unreviewed,Homo sapiens (Human),G3V4L2
ARMC10,ARMC10,unreviewed,Homo sapiens (Human),H7C2M7
TMEM87A,TMEM87A,unreviewed,Homo sapiens (Human),H3BMU0
CKB,CKB,unreviewed,Homo sapiens (Human),G3V4N7
COL11A1,COL11A1,unreviewed,Homo sapiens (Human),A0A2R8Y4I5
ARHGEF11;KIAA0380,ARHGEF11,reviewed,Homo sapiens (Human),O15085
CDK4,CDK4,unreviewed,Homo sapiens (Human),F8VZ13
PUS1,PUS1,unreviewed,Homo sapiens (Human),F5H1S9
RNPEP,RNPEP,unreviewed,Homo sapiens (Human),A0A087WUS4
RAP1GAP,RAP1GAP,unreviewed,Homo sapiens (Human),F2Z357
PAN3,PAN3,unreviewed,Homo sapiens (Human),A0A0C4DFZ9
S100a16;S100a16_predicted;rCG_62722,S100a16,unreviewed,Rattus norvegicus (Rat),B0BMX3
TTC27,TTC27,reviewed,Homo sapiens (Human),Q6P3X3
SCIN,SCIN,unreviewed,Homo sapiens (Human),C9JGB6
TPT1,TPT1,unreviewed,Homo sapiens (Human),H0YCX0
TBCA,TBCA,unreviewed,Homo sapiens (Human),E5RIW3
RPS6KB1,RPS6KB1,unreviewed,Homo sapiens (Human),K7EIM2
MTA1,MTA1,unreviewed,Homo sapiens (Human),H7C3F3
DDX42,DDX42,unreviewed,Homo sapiens (Human),J3QRI2
CBWD6,CBWD6,unreviewed,Homo sapiens (Human),H0Y5V3
PPP3CB;CALNA2;CALNB;CNA2,PPP3CB,reviewed,Homo sapiens (Human),P16298
PCDH1,PCDH1,unreviewed,Homo sapiens (Human),D6RBG2
RPL8,RPL8,unreviewed,Homo sapiens (Human),E9PKZ0
PM20D1,PM20D1,reviewed,Homo sapiens (Human),Q6GTS8
STAT6,STAT6,unreviewed,Homo sapiens (Human),H0YIY2
VANGL2;KIAA1215;STB1,VANGL2,reviewed,Homo sapiens (Human),Q9ULK5
ARHGDIB,ARHGDIB,unreviewed,Homo sapiens (Human),F5H3P3
OXR1,OXR1,unreviewed,Homo sapiens (Human),E5RII8
NELFA;WHSC2;P/OKcl.15,NELFA,reviewed,Homo sapiens (Human),Q9H3P2
Fah,Fah,unreviewed,Rattus norvegicus (Rat),F1M6W1
LOXL4;LOXC,LOXL4,reviewed,Homo sapiens (Human),Q96JB6
RP9,RP9,reviewed,Homo sapiens (Human),Q8TA86
Smad1;Mad1;Madh1,Smad1,reviewed,Rattus norvegicus (Rat),P97588
NRP1,NRP1,unreviewed,Homo sapiens (Human),V9GYL7
PTK2,PTK2,unreviewed,Homo sapiens (Human),H0YB99
PSMC6;SUG2,PSMC6,reviewed,Homo sapiens (Human),P62333
GPX4,GPX4,reviewed,Homo sapiens (Human),P36969
SNX1,SNX1,unreviewed,Homo sapiens (Human),H0YKL5
Ube2e3,Ube2e3,unreviewed,Rattus norvegicus (Rat),A0A0G2K964
CORO7,CORO7,unreviewed,Homo sapiens (Human),I3NI06
STAT6,STAT6,unreviewed,Homo sapiens (Human),G3V5K5
HPS5,HPS5,unreviewed,Homo sapiens (Human),F5H6Q8
ITGB2,ITGB2,unreviewed,Homo sapiens (Human),E7EVZ9
COX7C,COX7C,unreviewed,Homo sapiens (Human),D6R9Z7
Naa40;RGD1565838_predicted;rCG_47912,Naa40,unreviewed,Rattus norvegicus (Rat),D3ZZQ5
CD40,CD40,unreviewed,Homo sapiens (Human),H0YE23
UBXN8,UBXN8,unreviewed,Homo sapiens (Human),A0A087WT23
PIP4K2C;PIP5K2C,PIP4K2C,reviewed,Homo sapiens (Human),Q8TBX8
TP53BP1,TP53BP1,unreviewed,Homo sapiens (Human),H7C3N7
STX16-NPEPL1,STX16-NPEPL1,unreviewed,Homo sapiens (Human),H3BU86
ITGBL1;OSCP;TIED,ITGBL1,reviewed,Homo sapiens (Human),O95965
PHGDH,PHGDH,unreviewed,Homo sapiens (Human),A0A286YFE1
SLC27A1;ACSVL5;FATP1,SLC27A1,reviewed,Homo sapiens (Human),Q6PCB7
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A1B0GTG9
FPGS,FPGS,unreviewed,Homo sapiens (Human),Q5JU20
DENND10,DENND10,unreviewed,Homo sapiens (Human),A0A3B3IRE4
TCP1,TCP1,unreviewed,Homo sapiens (Human),F5H726
SPG21,SPG21,unreviewed,Homo sapiens (Human),H0YLD7
LSM7,LSM7,unreviewed,Homo sapiens (Human),K7ENY5
MICAL1,MICAL1,unreviewed,Homo sapiens (Human),Q5TED7
P3h2,P3h2,unreviewed,Rattus norvegicus (Rat),A0A0G2K8N3
RACK1,RACK1,unreviewed,Homo sapiens (Human),D6RFZ9
ATXN2L,ATXN2L,unreviewed,Homo sapiens (Human),H3BSQ5
ANXA11,ANXA11,unreviewed,Homo sapiens (Human),H0Y6E1
SFXN1,SFXN1,unreviewed,Homo sapiens (Human),D6RFI0
SEC61A2,SEC61A2,unreviewed,Homo sapiens (Human),C9JJV4
SEMA4D;C9orf164;CD100;SEMAJ,SEMA4D,reviewed,Homo sapiens (Human),Q92854
SLX9;C21orf70;FAM207A;PRED56,SLX9,reviewed,Homo sapiens (Human),Q9NSI2
AMOTL2,AMOTL2,unreviewed,Homo sapiens (Human),D6RJA4
WDR18,WDR18,unreviewed,Homo sapiens (Human),K7EKX5
ATRX,ATRX,unreviewed,Homo sapiens (Human),A0A096LNN3
CDK11A;CDC2L2;CDC2L3;PITSLREB,CDK11A,reviewed,Homo sapiens (Human),Q9UQ88
ARPIN-AP3S2,ARPIN-AP3S2,unreviewed,Homo sapiens (Human),H0YL85
Mat1a;Ams1,Mat1a,reviewed,Rattus norvegicus (Rat),P13444
RPP25L;C9orf23,RPP25L,reviewed,Homo sapiens (Human),Q8N5L8
VMP1;TDC1;TMEM49;HSPC292,VMP1,reviewed,Homo sapiens (Human),Q96GC9
Ect2,Ect2,unreviewed,Rattus norvegicus (Rat),B5DF83
GTF3C1,GTF3C1,unreviewed,Homo sapiens (Human),H3BU37
TSC1,TSC1,unreviewed,Homo sapiens (Human),A0A2R8Y6W1
EIF1AX,EIF1AX,unreviewed,Homo sapiens (Human),X6RAC9
SELP,SELP,unreviewed,Homo sapiens (Human),Q5R342
RNASEH2B,RNASEH2B,unreviewed,Homo sapiens (Human),A0A2R8YCX2
LDLR,LDLR,unreviewed,Homo sapiens (Human),H0YMQ3
MVB12B,MVB12B,unreviewed,Homo sapiens (Human),F8W922
NDUFB3,NDUFB3,reviewed,Homo sapiens (Human),O43676
Ctps1;Ctps;rCG_30713,Ctps1,unreviewed,Rattus norvegicus (Rat),B1WC02
SMYD2;KMT3C,SMYD2,reviewed,Homo sapiens (Human),Q9NRG4
RAVER1,RAVER1,unreviewed,Homo sapiens (Human),A0A087WZ13
CLN3,CLN3,unreviewed,Homo sapiens (Human),H3BMN4
Cacna2d4,Cacna2d4,unreviewed,Rattus norvegicus (Rat),D3ZM84
LAMA4,LAMA4,unreviewed,Homo sapiens (Human),E5RFQ2
NCBP1,NCBP1,unreviewed,Homo sapiens (Human),X6R941
SDR39U1,SDR39U1,unreviewed,Homo sapiens (Human),G3V451
HAPLN1,HAPLN1,unreviewed,Homo sapiens (Human),D6RC59
MLST8,MLST8,unreviewed,Homo sapiens (Human),H3BPT1
Map4k2,Map4k2,unreviewed,Rattus norvegicus (Rat),D3ZXB1
LRP1,LRP1,unreviewed,Homo sapiens (Human),H0YJI8
ANKRD20A3P,ANKRD20A3P,unreviewed,Homo sapiens (Human),A0A087WY83
PSME2,PSME2,unreviewed,Homo sapiens (Human),H0YLG1
RANGRF;MOG1;RANGNRF;HSPC165;HSPC236;MDS5,RANGRF,reviewed,Homo sapiens (Human),Q9HD47
PCDHGC3,PCDHGC3,unreviewed,Homo sapiens (Human),A0A087X1P2
Bnip1;Sec20l,Bnip1,reviewed,Rattus norvegicus (Rat),Q8VHI8
DIAPH3;DIAP3,DIAPH3,reviewed,Homo sapiens (Human),Q9NSV4
VPS35L,VPS35L,unreviewed,Homo sapiens (Human),H3BNX2
Rab14,Rab14,reviewed,Rattus norvegicus (Rat),P61107
Tomm40;Tom40;Tom40a,Tomm40,reviewed,Rattus norvegicus (Rat),Q75Q40
P4hb;Pdia1,P4hb,reviewed,Rattus norvegicus (Rat),P04785
FABP3,FABP3,unreviewed,Homo sapiens (Human),S4R371
CPN2;ACBP,CPN2,reviewed,Homo sapiens (Human),P22792
SMG1,SMG1,unreviewed,Homo sapiens (Human),J3KRA9
AATF,AATF,unreviewed,Homo sapiens (Human),A0A087WWS8
OSMR,OSMR,unreviewed,Homo sapiens (Human),H0YAD1
SCRN1;KIAA0193,SCRN1,reviewed,Homo sapiens (Human),Q12765
TJP1;hCG_27621,TJP1,unreviewed,Homo sapiens (Human),G5E9E7
Tmem167b;LOC108349010;RGD1564454_predicted;rCG_28877,Tmem167b,unreviewed,Rattus norvegicus (Rat),D3ZSX4
LEKR1,LEKR1,unreviewed,Homo sapiens (Human),J3KP02
ACOT8;ACTEIII;PTE1,ACOT8,reviewed,Homo sapiens (Human),O14734
Snrpg;LOC100360635;LOC687679;rCG_56468,Snrpg,unreviewed,Rattus norvegicus (Rat),B5DEP7
ZNF777;KIAA1285,ZNF777,reviewed,Homo sapiens (Human),Q9ULD5
ACAD10,ACAD10,reviewed,Homo sapiens (Human),Q6JQN1
F11,F11,unreviewed,Homo sapiens (Human),H0Y596
GSTO1,GSTO1,unreviewed,Homo sapiens (Human),Q5TA01
HTT,HTT,unreviewed,Homo sapiens (Human),A0A3B3ISR3
XPNPEP1,XPNPEP1,unreviewed,Homo sapiens (Human),Q5T6H7
MAPK12;ERK6;SAPK3,MAPK12,reviewed,Homo sapiens (Human),P53778
COPZ2,COPZ2,reviewed,Homo sapiens (Human),Q9P299
Arf5,Arf5,reviewed,Rattus norvegicus (Rat),P84083
RNF40,RNF40,unreviewed,Homo sapiens (Human),I3L332
USP3,USP3,unreviewed,Homo sapiens (Human),H0YNX9
PIGT,PIGT,unreviewed,Homo sapiens (Human),A0A1W2PNS2
LRIF1;C1orf103;RIF1,LRIF1,reviewed,Homo sapiens (Human),Q5T3J3
TGFBI,TGFBI,unreviewed,Homo sapiens (Human),H0Y9D7
Yme1l1,Yme1l1,unreviewed,Rattus norvegicus (Rat),G3V886
PKN2;hCG_23733,PKN2,unreviewed,Homo sapiens (Human),B1AL79
ERCC3,ERCC3,unreviewed,Homo sapiens (Human),A0A2R8Y6W8
Mbnl2,Mbnl2,reviewed,Rattus norvegicus (Rat),F2Z3T4
IKBKG,IKBKG,unreviewed,Homo sapiens (Human),C9JCG6
Acat1,Acat1,reviewed,Rattus norvegicus (Rat),P17764
LOXL3;LOXL,LOXL3,reviewed,Homo sapiens (Human),P58215
WWP2,WWP2,reviewed,Homo sapiens (Human),O00308
SLC9B2,SLC9B2,unreviewed,Homo sapiens (Human),D6RGJ7
PDHX,PDHX,unreviewed,Homo sapiens (Human),H0YD97
NPM1,NPM1,unreviewed,Homo sapiens (Human),E5RI98
Fgf5;Fgf3a;rCG_37899,Fgf5,unreviewed,Rattus norvegicus (Rat),G3V8W5
TPP1,TPP1,unreviewed,Homo sapiens (Human),A0A2R8YDY1
PIP4K2C,PIP4K2C,unreviewed,Homo sapiens (Human),F8VU68
PIH1D1,PIH1D1,unreviewed,Homo sapiens (Human),M0R2P8
CNPY4;PSEC0237;UNQ1909/PRO4354,CNPY4,reviewed,Homo sapiens (Human),Q8N129
Pbp2;rCG_30137,Pbp2,unreviewed,Rattus norvegicus (Rat),M0RB80
DLG1,DLG1,unreviewed,Homo sapiens (Human),B4E2H8
PICALM;CALM,PICALM,reviewed,Homo sapiens (Human),Q13492
KHDRBS3;SALP;SLM2,KHDRBS3,reviewed,Homo sapiens (Human),O75525
CAPZA1,CAPZA1,reviewed,Homo sapiens (Human),P52907
Mup5,Mup5,unreviewed,Rattus norvegicus (Rat),M0R620
IPCEF1,IPCEF1,unreviewed,Homo sapiens (Human),E5RJQ7
RPA3;hCG_17407,RPA3,unreviewed,Homo sapiens (Human),B5MC59
EI24,EI24,unreviewed,Homo sapiens (Human),E9PL33
BAG6,BAG6,unreviewed,Homo sapiens (Human),A0A0G2JJM1
LY6G6D,LY6G6D,unreviewed,Homo sapiens (Human),A0A140T9N5
FUS,FUS,unreviewed,Homo sapiens (Human),H3BNZ4
CRAT,CRAT,unreviewed,Homo sapiens (Human),H0Y4Z7
RPF1,RPF1,unreviewed,Homo sapiens (Human),X6R7Q1
PROCR,PROCR,unreviewed,Homo sapiens (Human),A0A0U1RQQ4
CHPF2;CSGlcA-T;hCG_18696;tcag7.785,CHPF2,unreviewed,Homo sapiens (Human),G5E9W2
PLCB1,PLCB1,unreviewed,Homo sapiens (Human),A0A087WT80
MPZL1;PZR;UNQ849/PRO1787,MPZL1,reviewed,Homo sapiens (Human),O95297
Glud1;Glud,Glud1,reviewed,Rattus norvegicus (Rat),P10860
ENO1,ENO1,unreviewed,Homo sapiens (Human),A0A2R8Y6I8
TRAPPC1,TRAPPC1,unreviewed,Homo sapiens (Human),I3L1R8
Itih4;rCG_42315,Itih4,unreviewed,Rattus norvegicus (Rat),Q5EBC0
Shoc2,Shoc2,reviewed,Rattus norvegicus (Rat),Q6AYI5
UBE2G2;UBC7,UBE2G2,reviewed,Homo sapiens (Human),P60604
MCRIP1,MCRIP1,unreviewed,Homo sapiens (Human),I3L3A7
Ipo9,Ipo9,unreviewed,Rattus norvegicus (Rat),D4A857
ANGPTL6;AGF;ARP5;UNQ152/PRO178,ANGPTL6,reviewed,Homo sapiens (Human),Q8NI99
MBD1;CXXC3;PCM1,MBD1,reviewed,Homo sapiens (Human),Q9UIS9
ADAM17,ADAM17,unreviewed,Homo sapiens (Human),A0A3B3ITW9
RAB34,RAB34,unreviewed,Homo sapiens (Human),Q96PJ7
TAOK3,TAOK3,unreviewed,Homo sapiens (Human),F5GWV8
HDAC6,HDAC6,unreviewed,Homo sapiens (Human),H7C0Z9
GTF2H1,GTF2H1,unreviewed,Homo sapiens (Human),F5H0Y9
ENPP2;ATX;PDNP2,ENPP2,reviewed,Homo sapiens (Human),Q13822
Mbd3,Mbd3,unreviewed,Rattus norvegicus (Rat),F7EY92
GTF2A1,GTF2A1,unreviewed,Homo sapiens (Human),J3KNC0
HSPA1A,HSPA1A,unreviewed,Homo sapiens (Human),V9GZ37
UQCRC2,UQCRC2,unreviewed,Homo sapiens (Human),H3BP04
VPS41,VPS41,unreviewed,Homo sapiens (Human),H7BZX6
MX2,MX2,unreviewed,Homo sapiens (Human),C9JZQ9
TARS2;TARSL1,TARS2,reviewed,Homo sapiens (Human),Q9BW92
LARP1,LARP1,unreviewed,Homo sapiens (Human),H0YBW1
LSM4,LSM4,reviewed,Homo sapiens (Human),Q9Y4Z0
NUP214,NUP214,unreviewed,Homo sapiens (Human),B7ZAV2
Sorbs2;Argbp2,Sorbs2,reviewed,Rattus norvegicus (Rat),O35413
AP1M2,AP1M2,unreviewed,Homo sapiens (Human),K7EJJ1
TP53RK;C20orf64;PRPK,TP53RK,reviewed,Homo sapiens (Human),Q96S44
Ndufa3;rCG_56815,Ndufa3,unreviewed,Rattus norvegicus (Rat),A0A0G2KAA3
IRF9,IRF9,unreviewed,Homo sapiens (Human),H7BXP4
LOC120103107,LOC120103107,unreviewed,Rattus norvegicus (Rat),A0A0G2K6X8
CYHR1;KIAA0496,CYHR1,reviewed,Homo sapiens (Human),Q6ZMK1
ABI3;NESH,ABI3,reviewed,Homo sapiens (Human),Q9P2A4
PTPRM,PTPRM,unreviewed,Homo sapiens (Human),E7EPS8
Sprr2d;LOC102550890,Sprr2d,unreviewed,Rattus norvegicus (Rat),D3ZAR3
TMEM192,TMEM192,reviewed,Homo sapiens (Human),Q8IY95
PCDH18,PCDH18,unreviewed,Homo sapiens (Human),D6RIG4
Rpl31l4,Rpl31l4,unreviewed,Rattus norvegicus (Rat),D4ABZ9
AGFG1;HRB;RAB;RIP,AGFG1,reviewed,Homo sapiens (Human),P52594
TPCN1,TPCN1,unreviewed,Homo sapiens (Human),F8VR74
Srrt;AABR07035787.1,Srrt,unreviewed,Rattus norvegicus (Rat),M0R7E6
VPS41,VPS41,reviewed,Homo sapiens (Human),P49754
NCOA7,NCOA7,unreviewed,Homo sapiens (Human),Q5TF98
HM13,HM13,unreviewed,Homo sapiens (Human),A0A3B3IT72
LYPLA1,LYPLA1,unreviewed,Homo sapiens (Human),E5RJ48
INPP5B,INPP5B,unreviewed,Homo sapiens (Human),B1ARF3
HMGCS1,HMGCS1,unreviewed,Homo sapiens (Human),D6RIW1
DKK3,DKK3,unreviewed,Homo sapiens (Human),E9PKW6
ITGA2B,ITGA2B,unreviewed,Homo sapiens (Human),A0A3B3IU79
CELF2,CELF2,unreviewed,Homo sapiens (Human),A0A0J9YXJ0
BPGM,BPGM,unreviewed,Homo sapiens (Human),C9JH23
DCAF13,DCAF13,unreviewed,Homo sapiens (Human),A0A087WT20
CCAR2,CCAR2,unreviewed,Homo sapiens (Human),H0YC58
DMTN;DMT;EPB49,DMTN,reviewed,Homo sapiens (Human),Q08495
Grip1,Grip1,unreviewed,Rattus norvegicus (Rat),F1LMX8
