Gene names,Gene names  (primary ),Status,Organism,Protein ID
UBE2V2,UBE2V2,unreviewed,Homo sapiens (Human),H0YBP9
PCMT1,PCMT1,unreviewed,Homo sapiens (Human),C9J0F2
CD81,CD81,unreviewed,Homo sapiens (Human),E9PRJ8
ABCC1,ABCC1,unreviewed,Homo sapiens (Human),I3L4X2
RAD23A,RAD23A,unreviewed,Homo sapiens (Human),K7ELW1
SKP1,SKP1,unreviewed,Homo sapiens (Human),E7ERH2
RAB7A,RAB7A,unreviewed,Homo sapiens (Human),C9J592
RAB7A RAB7,RAB7A,reviewed,Homo sapiens (Human),P51149
RACK1,RACK1,unreviewed,Homo sapiens (Human),J3KPE3
SERPINC1,SERPINC1,unreviewed,Homo sapiens (Human),Q8TCE1
HSPA1B HSP72,HSPA1B,reviewed,Homo sapiens (Human),P0DMV9
CROCC,CROCC,unreviewed,Homo sapiens (Human),B1AKD8
PDLIM7,PDLIM7,unreviewed,Homo sapiens (Human),D6RH06
SEPTIN9,SEPTIN9,unreviewed,Homo sapiens (Human),K7EKN4
CAMK2D,CAMK2D,unreviewed,Homo sapiens (Human),E9PF82
HYOU1 GRP170 ORP150,HYOU1,reviewed,Homo sapiens (Human),Q9Y4L1
GMPR2,GMPR2,unreviewed,Homo sapiens (Human),H0YK71
BST1,BST1,unreviewed,Homo sapiens (Human),A6NC48
HNRNPD,HNRNPD,unreviewed,Homo sapiens (Human),D6RAF8
IDE,IDE,reviewed,Homo sapiens (Human),P14735
NQO2,NQO2,unreviewed,Homo sapiens (Human),Q5TD05
VIM,VIM,unreviewed,Homo sapiens (Human),B0YJC5
SEPTIN9,SEPTIN9,unreviewed,Homo sapiens (Human),K7EIE4
ETF1,ETF1,unreviewed,Homo sapiens (Human),B7Z7P8
ICAM1,ICAM1,unreviewed,Homo sapiens (Human),K7EKL8
KIF2A,KIF2A,unreviewed,Homo sapiens (Human),H0Y8H2
TIMP2 hCG_95573,TIMP2,unreviewed,Homo sapiens (Human),B4DFW2
TPM1,TPM1,unreviewed,Homo sapiens (Human),B7Z596
CTSB,CTSB,unreviewed,Homo sapiens (Human),E9PNL5
CD81 TAPA1 TSPAN28,CD81,reviewed,Homo sapiens (Human),P60033
HEXA,HEXA,unreviewed,Homo sapiens (Human),H3BTD4
EIF4A2 DDX2B EIF4F,EIF4A2,reviewed,Homo sapiens (Human),Q14240
DCPS DCS1 HINT5 HSPC015,DCPS,reviewed,Homo sapiens (Human),Q96C86
HEXB,HEXB,unreviewed,Homo sapiens (Human),H0Y9B6
SLC39A14,SLC39A14,unreviewed,Homo sapiens (Human),E5RFZ8
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A096LP72
NAP1L4,NAP1L4,unreviewed,Homo sapiens (Human),E9PKT8
RACK1,RACK1,unreviewed,Homo sapiens (Human),H0Y8W2
RECK ST15,RECK,reviewed,Homo sapiens (Human),O95980
LGALS1,LGALS1,reviewed,Homo sapiens (Human),P09382
GM2A,GM2A,reviewed,Homo sapiens (Human),P17900
CD44,CD44,unreviewed,Homo sapiens (Human),Q86UZ1
TXNDC17,TXNDC17,unreviewed,Homo sapiens (Human),I3L0K2
RACK1,RACK1,unreviewed,Homo sapiens (Human),H0YAF8
SDF4 hCG_19193,SDF4,unreviewed,Homo sapiens (Human),G3V1E2
NAP1L4,NAP1L4,unreviewed,Homo sapiens (Human),C9JZI7
TWF2,TWF2,unreviewed,Homo sapiens (Human),D6RG15
GPX4,GPX4,unreviewed,Homo sapiens (Human),A0A087WT12
XPNPEP1,XPNPEP1,unreviewed,Homo sapiens (Human),Q5T6H7
SNAP23,SNAP23,unreviewed,Homo sapiens (Human),H3BP15
USP15,USP15,unreviewed,Homo sapiens (Human),F8VVY7
CUL1,CUL1,reviewed,Homo sapiens (Human),Q13616
PPP1CC,PPP1CC,unreviewed,Homo sapiens (Human),A0A087WYY5
TALDO1 TAL TALDO TALDOR,TALDO1,reviewed,Homo sapiens (Human),P37837
ADAM17,ADAM17,unreviewed,Homo sapiens (Human),A6H8L4
PSMA4,PSMA4,unreviewed,Homo sapiens (Human),H0YLC2
ENPP1 M6S1 NPPS PC1 PDNP1,ENPP1,reviewed,Homo sapiens (Human),P22413
CAMK2D,CAMK2D,unreviewed,Homo sapiens (Human),H0Y9C2
GMPR2 GMPR,GMPR2,unreviewed,Homo sapiens (Human),H0YMB3
RACK1,RACK1,unreviewed,Homo sapiens (Human),D6R9L0
PPP1CC,PPP1CC,unreviewed,Homo sapiens (Human),F8VR82
HNRNPK,HNRNPK,unreviewed,Homo sapiens (Human),Q5T6W2
NOMO1,NOMO1,unreviewed,Homo sapiens (Human),A0A0G2JP90
RAP1GDS1,RAP1GDS1,unreviewed,Homo sapiens (Human),D6RHH8
ACO2,ACO2,reviewed,Homo sapiens (Human),Q99798
PSMA5,PSMA5,reviewed,Homo sapiens (Human),P28066
ADA,ADA,unreviewed,Homo sapiens (Human),F5GXW0
OSTM1 GL HSPC019 UNQ6098/PRO21201,OSTM1,reviewed,Homo sapiens (Human),Q86WC4
FHL1,FHL1,unreviewed,Homo sapiens (Human),Q5JXH9
CLIC1 G6 NCC27,CLIC1,reviewed,Homo sapiens (Human),O00299
OTUB1,OTUB1,unreviewed,Homo sapiens (Human),J3KR44
GLIPR2,GLIPR2,unreviewed,Homo sapiens (Human),Q5VZR0
NAGK,NAGK,unreviewed,Homo sapiens (Human),C9JEV6
COPS8,COPS8,unreviewed,Homo sapiens (Human),E9PGT6
ABCC1,ABCC1,unreviewed,Homo sapiens (Human),A0A0A0MS99
DSTN,DSTN,unreviewed,Homo sapiens (Human),F6RFD5
SNX12,SNX12,unreviewed,Homo sapiens (Human),A0A087X0R6
EIF4A1,EIF4A1,unreviewed,Homo sapiens (Human),J3KTB5
ANXA2,ANXA2,unreviewed,Homo sapiens (Human),H0YM50
DPYSL3,DPYSL3,unreviewed,Homo sapiens (Human),H0YBT4
GPI,GPI,unreviewed,Homo sapiens (Human),K7EQ48
SEPTIN9,SEPTIN9,unreviewed,Homo sapiens (Human),K7EN52
ELOC,ELOC,unreviewed,Homo sapiens (Human),E5RHG8
CHID1,CHID1,unreviewed,Homo sapiens (Human),E9PI70
CLTA,CLTA,unreviewed,Homo sapiens (Human),F8WF69
RAN,RAN,unreviewed,Homo sapiens (Human),H0YFC6
LDLR,LDLR,unreviewed,Homo sapiens (Human),J3KMZ9
ACP1 hCG_1784797,ACP1,unreviewed,Homo sapiens (Human),G5E9R5
EHD1 hCG_23386,EHD1,unreviewed,Homo sapiens (Human),A0A024R571
COPS7A CSN7A DERP10,COPS7A,reviewed,Homo sapiens (Human),Q9UBW8
HAGH,HAGH,unreviewed,Homo sapiens (Human),H3BV79
RAB7A,RAB7A,unreviewed,Homo sapiens (Human),C9IZZ0
HLA-B HLAB,HLA-B,reviewed,Homo sapiens (Human),P01889
DDAH2,DDAH2,unreviewed,Homo sapiens (Human),Q5SRR8
FHL1,FHL1,unreviewed,Homo sapiens (Human),A0A0D9SFZ9
FUCA2 PSEC0151 UNQ227/PRO260,FUCA2,reviewed,Homo sapiens (Human),Q9BTY2
SERPINB6 hCG_22875,SERPINB6,unreviewed,Homo sapiens (Human),A0A024QZX5
CAPNS1,CAPNS1,unreviewed,Homo sapiens (Human),K7EIV0
CLIC4,CLIC4,reviewed,Homo sapiens (Human),Q9Y696
ATP5F1B,ATP5F1B,unreviewed,Homo sapiens (Human),F8W079
NUCB2 Nucb2,NUCB2,unreviewed,Homo sapiens (Human),Q2L696
BLMH,BLMH,unreviewed,Homo sapiens (Human),K7ESE8
YWHAB,YWHAB,unreviewed,Homo sapiens (Human),Q4VY19
MAN1B1 UNQ747/PRO1477,MAN1B1,reviewed,Homo sapiens (Human),Q9UKM7
SLC3A2,SLC3A2,unreviewed,Homo sapiens (Human),F5GZS6
EZR VIL2,EZR,reviewed,Homo sapiens (Human),P15311
TXNL1 TRP32 TXL TXNL,TXNL1,reviewed,Homo sapiens (Human),O43396
STK24,STK24,unreviewed,Homo sapiens (Human),Q5JV98
GPX1,GPX1,reviewed,Homo sapiens (Human),P07203
PSMB10 LMP10 MECL1,PSMB10,reviewed,Homo sapiens (Human),P40306
EIF1AX,EIF1AX,unreviewed,Homo sapiens (Human),X6RAC9
CRABP2,CRABP2,reviewed,Homo sapiens (Human),P29373
NUCB2,NUCB2,unreviewed,Homo sapiens (Human),E9PKG6
NEDD8,NEDD8,unreviewed,Homo sapiens (Human),F8VSA6
XPO1 CRM1,XPO1,reviewed,Homo sapiens (Human),O14980
TLN1 KIAA1027 TLN,TLN1,reviewed,Homo sapiens (Human),Q9Y490
GNPDA1,GNPDA1,unreviewed,Homo sapiens (Human),D6R9P4
PSMB3,PSMB3,unreviewed,Homo sapiens (Human),A0A087WXQ8
CAPNS1,CAPNS1,unreviewed,Homo sapiens (Human),K7EM73
PITPNB,PITPNB,unreviewed,Homo sapiens (Human),A0A0A0MSW4
GSTP1 FAEES3 GST3,GSTP1,reviewed,Homo sapiens (Human),P09211
ESD,ESD,unreviewed,Homo sapiens (Human),X6RA14
CAMK2D,CAMK2D,unreviewed,Homo sapiens (Human),E9PBG7
CAPZB hCG_41078,CAPZB,unreviewed,Homo sapiens (Human),B1AK88
OPLAH,OPLAH,reviewed,Homo sapiens (Human),O14841
ARPC2 ARC34 PRO2446,ARPC2,reviewed,Homo sapiens (Human),O15144
GSTP1,GSTP1,unreviewed,Homo sapiens (Human),A8MX94
HLA-A,HLA-A,unreviewed,Homo sapiens (Human),Q5SRN7
NME2P1,NME2P1,reviewed,Homo sapiens (Human),O60361
DERA,DERA,unreviewed,Homo sapiens (Human),E9PML7
RAD23A,RAD23A,unreviewed,Homo sapiens (Human),K7ENJ0
PTX3 TNFAIP5 TSG14,PTX3,reviewed,Homo sapiens (Human),P26022
SIL1,SIL1,unreviewed,Homo sapiens (Human),D6REA1
RNPEP APB,RNPEP,reviewed,Homo sapiens (Human),Q9H4A4
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),F8W020
VASP,VASP,reviewed,Homo sapiens (Human),P50552
CNN2,CNN2,unreviewed,Homo sapiens (Human),B4DDF4
ANXA6,ANXA6,unreviewed,Homo sapiens (Human),E7EMC6
APMAP,APMAP,unreviewed,Homo sapiens (Human),H0Y512
ACO1 IREB1,ACO1,reviewed,Homo sapiens (Human),P21399
MTPN,MTPN,unreviewed,Homo sapiens (Human),C9JL85
HNRNPD,HNRNPD,unreviewed,Homo sapiens (Human),H0Y8G5
ABHD14B,ABHD14B,unreviewed,Homo sapiens (Human),F8W9U3
IQGAP2,IQGAP2,unreviewed,Homo sapiens (Human),F5H7S7
G6PD,G6PD,unreviewed,Homo sapiens (Human),E9PD92
CSPG4 MCSP,CSPG4,reviewed,Homo sapiens (Human),Q6UVK1
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A0A6YY92
SPON1 KIAA0762 VSGP,SPON1,reviewed,Homo sapiens (Human),Q9HCB6
CHID1,CHID1,unreviewed,Homo sapiens (Human),H0YC89
EHD3 EHD2 PAST3,EHD3,reviewed,Homo sapiens (Human),Q9NZN3
NIF3L1,NIF3L1,unreviewed,Homo sapiens (Human),Q6X734
AKR7A2 AFAR AFAR1 AKR7,AKR7A2,reviewed,Homo sapiens (Human),O43488
SLC38A10 PP1744,SLC38A10,reviewed,Homo sapiens (Human),Q9HBR0
SKP1,SKP1,unreviewed,Homo sapiens (Human),F8W8N3
PDLIM7,PDLIM7,unreviewed,Homo sapiens (Human),D6RF83
CTSD,CTSD,unreviewed,Homo sapiens (Human),H7C1V0
PRKACB,PRKACB,unreviewed,Homo sapiens (Human),B1APF8
AKR1B1,AKR1B1,unreviewed,Homo sapiens (Human),E9PEF9
NT5C,NT5C,unreviewed,Homo sapiens (Human),J3KRC4
RAD23B,RAD23B,reviewed,Homo sapiens (Human),P54727
COL11A1,COL11A1,unreviewed,Homo sapiens (Human),C9JMN2
FAM234A,FAM234A,unreviewed,Homo sapiens (Human),H7C2U8
LRRFIP2,LRRFIP2,unreviewed,Homo sapiens (Human),C9J321
HARS1,HARS1,unreviewed,Homo sapiens (Human),B4DDD8
CAPNS1,CAPNS1,unreviewed,Homo sapiens (Human),U3KQE2
HNRNPD,HNRNPD,unreviewed,Homo sapiens (Human),D6RD83
ADAM10 KUZ MADM,ADAM10,reviewed,Homo sapiens (Human),O14672
NUCB2,NUCB2,unreviewed,Homo sapiens (Human),E9PLR0
FHOD1,FHOD1,unreviewed,Homo sapiens (Human),H3BVE7
LAMB1,LAMB1,unreviewed,Homo sapiens (Human),G3XAI2
EEF2 EF2,EEF2,reviewed,Homo sapiens (Human),P13639
ATP6V1B2 ATP6B2 VPP3,ATP6V1B2,reviewed,Homo sapiens (Human),P21281
FTL,FTL,reviewed,Homo sapiens (Human),P02792
CD81,CD81,unreviewed,Homo sapiens (Human),E9PIF1
NUTF2 NTF2,NUTF2,reviewed,Homo sapiens (Human),P61970
PTPA,PTPA,unreviewed,Homo sapiens (Human),A6PVN5
GRB2,GRB2,unreviewed,Homo sapiens (Human),J3KT38
PRPS1,PRPS1,reviewed,Homo sapiens (Human),P60891
F5,F5,unreviewed,Homo sapiens (Human),A0A0A0MRJ7
CAMK2D,CAMK2D,unreviewed,Homo sapiens (Human),H0Y9J2
HYOU1,HYOU1,unreviewed,Homo sapiens (Human),A0A087X054
PSMF1,PSMF1,unreviewed,Homo sapiens (Human),Q5QPM9
LRRFIP2,LRRFIP2,unreviewed,Homo sapiens (Human),H7C3N9
RAB27A,RAB27A,unreviewed,Homo sapiens (Human),H3BS49
ST13,ST13,unreviewed,Homo sapiens (Human),F6VDH7
AP1G1,AP1G1,unreviewed,Homo sapiens (Human),B4DGE1
LRRFIP2,LRRFIP2,unreviewed,Homo sapiens (Human),C9J0U5
CD276,CD276,unreviewed,Homo sapiens (Human),H0YLT8
PARK7,PARK7,reviewed,Homo sapiens (Human),Q99497
ITIH4,ITIH4,unreviewed,Homo sapiens (Human),B7ZKJ8
RAB14,RAB14,unreviewed,Homo sapiens (Human),X6RFL8
PSMB9,PSMB9,unreviewed,Homo sapiens (Human),A0A0G2JJA7
PRPS1,PRPS1,unreviewed,Homo sapiens (Human),B1ALA9
MXRA5,MXRA5,reviewed,Homo sapiens (Human),Q9NR99
CAST,CAST,unreviewed,Homo sapiens (Human),H0Y9H6
PARK7,PARK7,unreviewed,Homo sapiens (Human),K7EN27
NPC2,NPC2,unreviewed,Homo sapiens (Human),G3V3D1
ECE1,ECE1,unreviewed,Homo sapiens (Human),B4DKB2
ELOC TCEB1,ELOC,reviewed,Homo sapiens (Human),Q15369
HAGH,HAGH,unreviewed,Homo sapiens (Human),H3BPK3
ILK,ILK,unreviewed,Homo sapiens (Human),A0A0A0MTH3
HBA1; HBA2,HBA1; HBA2,reviewed,Homo sapiens (Human),P69905
DCN,DCN,unreviewed,Homo sapiens (Human),H0YIH3
RANBP1,RANBP1,unreviewed,Homo sapiens (Human),F6WQW2
RAD23B,RAD23B,unreviewed,Homo sapiens (Human),Q5W0S5
PDLIM5,PDLIM5,unreviewed,Homo sapiens (Human),A0A0D9SFR4
PTPA,PTPA,unreviewed,Homo sapiens (Human),A6PVN8
PPP1R14A,PPP1R14A,unreviewed,Homo sapiens (Human),K7EMN0
FABP5,FABP5,reviewed,Homo sapiens (Human),Q01469
RNPEP,RNPEP,unreviewed,Homo sapiens (Human),A6NKB8
CYFIP1 KIAA0068,CYFIP1,reviewed,Homo sapiens (Human),Q7L576
DPYSL3 CRMP4 DRP3 ULIP ULIP1,DPYSL3,reviewed,Homo sapiens (Human),Q14195
COPS4,COPS4,unreviewed,Homo sapiens (Human),D6RFN0
HEXA,HEXA,unreviewed,Homo sapiens (Human),H3BS10
TKFC,TKFC,unreviewed,Homo sapiens (Human),H0YCY6
PDCD10,PDCD10,unreviewed,Homo sapiens (Human),C9J932
LOXL3,LOXL3,unreviewed,Homo sapiens (Human),B9A025
CNPY2 MSAP TMEM4 ZSIG9 UNQ1943/PRO4426,CNPY2,reviewed,Homo sapiens (Human),Q9Y2B0
CD81,CD81,unreviewed,Homo sapiens (Human),H0YEE2
TOM1L2,TOM1L2,unreviewed,Homo sapiens (Human),B7Z2U2
TMOD3,TMOD3,reviewed,Homo sapiens (Human),Q9NYL9
DCXR SDR20C1,DCXR,reviewed,Homo sapiens (Human),Q7Z4W1
ANPEP APN CD13 PEPN,ANPEP,reviewed,Homo sapiens (Human),P15144
NAP1L4,NAP1L4,unreviewed,Homo sapiens (Human),C9J6D1
XPO7 KIAA0745 RANBP16,XPO7,reviewed,Homo sapiens (Human),Q9UIA9
YWHAQ,YWHAQ,unreviewed,Homo sapiens (Human),E9PG15
GALNS,GALNS,unreviewed,Homo sapiens (Human),H3BP66
PTPRM,PTPRM,unreviewed,Homo sapiens (Human),E7EPS8
YWHAB,YWHAB,unreviewed,Homo sapiens (Human),A0A0J9YWE8
CTSK,CTSK,unreviewed,Homo sapiens (Human),Q5QP40
PDLIM5,PDLIM5,unreviewed,Homo sapiens (Human),H0Y929
APP,APP,unreviewed,Homo sapiens (Human),E9PG40
SEPTIN9,SEPTIN9,unreviewed,Homo sapiens (Human),K7ENQ5
TUBB,TUBB,unreviewed,Homo sapiens (Human),Q5ST81
GRHPR GLXR MSTP035,GRHPR,reviewed,Homo sapiens (Human),Q9UBQ7
ALDOA,ALDOA,unreviewed,Homo sapiens (Human),H3BPS8
HEXB,HEXB,unreviewed,Homo sapiens (Human),H0YA83
HSPA1A,HSPA1A,unreviewed,Homo sapiens (Human),V9GZ37
OTULIN FAM105B,OTULIN,reviewed,Homo sapiens (Human),Q96BN8
ABHD14B CIB,ABHD14B,reviewed,Homo sapiens (Human),Q96IU4
NAGLU UFHSD1,NAGLU,reviewed,Homo sapiens (Human),P54802
GPI,GPI,unreviewed,Homo sapiens (Human),A0A0J9YYH3
GPC1,GPC1,unreviewed,Homo sapiens (Human),H7C410
COL6A1,COL6A1,reviewed,Homo sapiens (Human),P12109
CAVIN2 SDPR,CAVIN2,reviewed,Homo sapiens (Human),O95810
SLC39A14,SLC39A14,unreviewed,Homo sapiens (Human),E5RJ40
ENO2,ENO2,unreviewed,Homo sapiens (Human),F5H0C8
ANP32A,ANP32A,unreviewed,Homo sapiens (Human),H0YN26
TPT1,TPT1,reviewed,Homo sapiens (Human),P13693
MYL6,MYL6,unreviewed,Homo sapiens (Human),B7Z6Z4
CALM2,CALM2,unreviewed,Homo sapiens (Human),E7EMB3
SNAP23,SNAP23,unreviewed,Homo sapiens (Human),H3BR18
FNTA,FNTA,unreviewed,Homo sapiens (Human),H0YCW1
PPM1F hCG_26717,PPM1F,unreviewed,Homo sapiens (Human),A8MX49
TPD52L2,TPD52L2,unreviewed,Homo sapiens (Human),A0A087WZ51
PTP4A2,PTP4A2,unreviewed,Homo sapiens (Human),E9PMY3
EIF2S3 EIF2G,EIF2S3,reviewed,Homo sapiens (Human),P41091
AK1,AK1,unreviewed,Homo sapiens (Human),Q5T9B7
HNRNPU C1orf199 HNRPU SAFA U21.1,HNRNPU,reviewed,Homo sapiens (Human),Q00839
ILF3,ILF3,unreviewed,Homo sapiens (Human),K7EQR9
PPP2R1A,PPP2R1A,unreviewed,Homo sapiens (Human),C9J9C1
PDCD6 hCG_1985580,PDCD6,unreviewed,Homo sapiens (Human),A0A024QZ42
H2BC5 H2BFB HIRIP2 HIST1H2BD,H2BC5,reviewed,Homo sapiens (Human),P58876
GANAB,GANAB,unreviewed,Homo sapiens (Human),F5H6X6
UBE2O KIAA1734,UBE2O,reviewed,Homo sapiens (Human),Q9C0C9
PRKACB,PRKACB,unreviewed,Homo sapiens (Human),B1APG3
CPNE3,CPNE3,unreviewed,Homo sapiens (Human),E5RHZ0
UBE2M,UBE2M,unreviewed,Homo sapiens (Human),M0QX69
BROX BROFTI C1orf58,BROX,reviewed,Homo sapiens (Human),Q5VW32
SEPTIN11 SEPT11 hCG_24410,SEPTIN11,unreviewed,Homo sapiens (Human),D6RGI3
NQO2 NMOR2,NQO2,reviewed,Homo sapiens (Human),P16083
HMBS,HMBS,unreviewed,Homo sapiens (Human),F5H345
PLPBP PROSC,PLPBP,reviewed,Homo sapiens (Human),O94903
GFUS,GFUS,unreviewed,Homo sapiens (Human),E9PLH9
ABI3BP,ABI3BP,unreviewed,Homo sapiens (Human),H0Y897
LOXL3 LOXL,LOXL3,reviewed,Homo sapiens (Human),P58215
NCL,NCL,reviewed,Homo sapiens (Human),P19338
ISOC1,ISOC1,unreviewed,Homo sapiens (Human),D6RGE2
COTL1 CLP,COTL1,reviewed,Homo sapiens (Human),Q14019
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A096LNY4
NRP1,NRP1,unreviewed,Homo sapiens (Human),E7EX60
PDCD10,PDCD10,unreviewed,Homo sapiens (Human),C9J5C3
NAXE AIBP APOA1BP YJEFN1,NAXE,reviewed,Homo sapiens (Human),Q8NCW5
PSMA4,PSMA4,unreviewed,Homo sapiens (Human),H0YL69
OTUB1,OTUB1,unreviewed,Homo sapiens (Human),F5H6Q1
EHD1,EHD1,unreviewed,Homo sapiens (Human),C9JC03
LOXL3,LOXL3,unreviewed,Homo sapiens (Human),C9J5M1
FHL1,FHL1,unreviewed,Homo sapiens (Human),Q5JXI3
CTSD CPSD,CTSD,reviewed,Homo sapiens (Human),P07339
HSPA5 GRP78,HSPA5,reviewed,Homo sapiens (Human),P11021
VPS4B SKD1 VPS42 MIG1,VPS4B,reviewed,Homo sapiens (Human),O75351
PFN1 hCG_32691,PFN1,unreviewed,Homo sapiens (Human),K7EJ44
CAPNS1,CAPNS1,unreviewed,Homo sapiens (Human),K7EKD8
PSMC5,PSMC5,unreviewed,Homo sapiens (Human),J3QQM1
GPC1,GPC1,unreviewed,Homo sapiens (Human),H7C024
CRYL1 CRY,CRYL1,reviewed,Homo sapiens (Human),Q9Y2S2
GCLC,GCLC,unreviewed,Homo sapiens (Human),E1CEI4
HEXA,HEXA,reviewed,Homo sapiens (Human),P06865
TOM1L2,TOM1L2,unreviewed,Homo sapiens (Human),F5H3S6
PSME2,PSME2,unreviewed,Homo sapiens (Human),H0YM70
NUCB1 NUC,NUCB1,reviewed,Homo sapiens (Human),Q02818
SEPTIN7 CDC10 SEPT7,SEPTIN7,reviewed,Homo sapiens (Human),Q16181
EIF6,EIF6,unreviewed,Homo sapiens (Human),B7ZBH1
PPP5C PPP5,PPP5C,reviewed,Homo sapiens (Human),P53041
MOB1B,MOB1B,unreviewed,Homo sapiens (Human),D6RCK3
CAPZA2,CAPZA2,unreviewed,Homo sapiens (Human),C9JUG7
DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1,DYNLL1,reviewed,Homo sapiens (Human),P63167
PPIA,PPIA,unreviewed,Homo sapiens (Human),F8WE65
CS,CS,unreviewed,Homo sapiens (Human),B4DJV2
SUMF2,SUMF2,unreviewed,Homo sapiens (Human),J3QT17
MDH1,MDH1,unreviewed,Homo sapiens (Human),C9JF79
TST,TST,reviewed,Homo sapiens (Human),Q16762
RAP1A KREV1,RAP1A,reviewed,Homo sapiens (Human),P62834
CAPZB,CAPZB,unreviewed,Homo sapiens (Human),B1AK87
RAB7A,RAB7A,unreviewed,Homo sapiens (Human),C9J8S3
WDR44,WDR44,unreviewed,Homo sapiens (Human),H7BY83
CAPNS1,CAPNS1,unreviewed,Homo sapiens (Human),A0A0C4DGQ5
CPD,CPD,reviewed,Homo sapiens (Human),O75976
NIBAN1 C1orf24 FAM129A NIBAN GIG39,NIBAN1,reviewed,Homo sapiens (Human),Q9BZQ8
HAGH,HAGH,unreviewed,Homo sapiens (Human),H3BQW8
PSMA2,PSMA2,unreviewed,Homo sapiens (Human),C9JCK5
TPT1 hCG_32792,TPT1,unreviewed,Homo sapiens (Human),A0A0B4J2C3
RSU1 RSP1,RSU1,reviewed,Homo sapiens (Human),Q15404
CHID1,CHID1,unreviewed,Homo sapiens (Human),E9PIP0
DDAH2,DDAH2,unreviewed,Homo sapiens (Human),Q5SSV3
HSPA4 APG2,HSPA4,reviewed,Homo sapiens (Human),P34932
ADPGK,ADPGK,unreviewed,Homo sapiens (Human),H3BRS6
PAICS hCG_2027161,PAICS,unreviewed,Homo sapiens (Human),D6RF62
FABP5,FABP5,unreviewed,Homo sapiens (Human),I6L8B7
DDR2,DDR2,unreviewed,Homo sapiens (Human),Q5T244
OSTM1,OSTM1,unreviewed,Homo sapiens (Human),A0A0A0MSP4
ADH1B,ADH1B,unreviewed,Homo sapiens (Human),D6RHZ6
H1-4 H1F4 HIST1H1E,H1-4,reviewed,Homo sapiens (Human),P10412
CD81,CD81,unreviewed,Homo sapiens (Human),H0YDJ9
IDH1 PICD,IDH1,reviewed,Homo sapiens (Human),O75874
CAMK1,CAMK1,reviewed,Homo sapiens (Human),Q14012
EFEMP2 FBLN4 UNQ200/PRO226,EFEMP2,reviewed,Homo sapiens (Human),O95967
ANXA2,ANXA2,unreviewed,Homo sapiens (Human),H0YNP5
EMILIN1,EMILIN1,unreviewed,Homo sapiens (Human),A0A0A0MT20
PYGB,PYGB,reviewed,Homo sapiens (Human),P11216
AP1G1,AP1G1,unreviewed,Homo sapiens (Human),H3BRM7
CAPZA1,CAPZA1,reviewed,Homo sapiens (Human),P52907
BOLA2B BOLA2,BOLA2B,unreviewed,Homo sapiens (Human),A0A087WZT3
LTBP2,LTBP2,unreviewed,Homo sapiens (Human),G3V511
REXO2,REXO2,unreviewed,Homo sapiens (Human),H0YGR4
PGAM1 PGAMA CDABP0006,PGAM1,reviewed,Homo sapiens (Human),P18669
PSMB3,PSMB3,reviewed,Homo sapiens (Human),P49720
CAPNS1 CAPN4 CAPNS,CAPNS1,reviewed,Homo sapiens (Human),P04632
UBE2V2 hCG_1640505,UBE2V2,unreviewed,Homo sapiens (Human),G3V113
IL6ST,IL6ST,reviewed,Homo sapiens (Human),P40189
IGFBP3 hCG_1735376,IGFBP3,unreviewed,Homo sapiens (Human),B3KWK7
MGLL,MGLL,unreviewed,Homo sapiens (Human),H7C599
EIF4A1,EIF4A1,unreviewed,Homo sapiens (Human),J3QL43
PDE5A PDE5,PDE5A,reviewed,Homo sapiens (Human),O76074
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),F8VXI6
BLMH,BLMH,unreviewed,Homo sapiens (Human),K7ES02
GOLIM4 GIMPC GOLPH4 GPP130,GOLIM4,reviewed,Homo sapiens (Human),O00461
GSTM3 GST5,GSTM3,reviewed,Homo sapiens (Human),P21266
USP5 ISOT,USP5,reviewed,Homo sapiens (Human),P45974
DERA,DERA,unreviewed,Homo sapiens (Human),E9PPM8
DNAJC3 P58IPK PRKRI,DNAJC3,reviewed,Homo sapiens (Human),Q13217
VIM,VIM,unreviewed,Homo sapiens (Human),B0YJC4
CHID1,CHID1,unreviewed,Homo sapiens (Human),E9PKF1
CUL4A,CUL4A,reviewed,Homo sapiens (Human),Q13619
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A096LNY5
ANXA3,ANXA3,unreviewed,Homo sapiens (Human),D6RFG5
STOM BND7 EPB72,STOM,reviewed,Homo sapiens (Human),P27105
UBE2V2 MMS2 UEV2,UBE2V2,reviewed,Homo sapiens (Human),Q15819
SLC2A14 GLUT14,SLC2A14,reviewed,Homo sapiens (Human),Q8TDB8
CAMK2G hCG_20541,CAMK2G,unreviewed,Homo sapiens (Human),Q5SWX3
S100A4 CAPL MTS1,S100A4,reviewed,Homo sapiens (Human),P26447
,,unreviewed,Homo sapiens (Human),A6XND1
CES2,CES2,unreviewed,Homo sapiens (Human),J3QSC0
ACTR1A CTRN1,ACTR1A,reviewed,Homo sapiens (Human),P61163
PTK7 CCK4,PTK7,unreviewed,Homo sapiens (Human),Q86X91
USP15,USP15,unreviewed,Homo sapiens (Human),H0YHM4
