Gene names,Gene names  (primary ),Status,Organism,Protein ID
BMI1,BMI1,unreviewed,Homo sapiens (Human),Q5T8Z6
TAF1C,TAF1C,unreviewed,Homo sapiens (Human),H3BR71
SCYL2,SCYL2,unreviewed,Homo sapiens (Human),A0A0U1RQQ9
LRRFIP2,LRRFIP2,unreviewed,Homo sapiens (Human),C9J0U5
SMTN,SMTN,unreviewed,Homo sapiens (Human),C9JQZ8
YWHAZ,YWHAZ,unreviewed,Homo sapiens (Human),E5RGE1
CLINT1,CLINT1,unreviewed,Homo sapiens (Human),H0YD52
INTS12,INTS12,unreviewed,Homo sapiens (Human),D6R9W3
MCU;C10orf42;CCDC109A,MCU,reviewed,Homo sapiens (Human),Q8NE86
RAE1;MRNP41,RAE1,reviewed,Homo sapiens (Human),P78406
MTOR,MTOR,unreviewed,Homo sapiens (Human),B1AKQ2
HNRNPA2B1;HNRPA2B1,HNRNPA2B1,reviewed,Homo sapiens (Human),P22626
LTBP1,LTBP1,unreviewed,Homo sapiens (Human),H7C2H7
MRPL45,MRPL45,unreviewed,Homo sapiens (Human),A0A087X2D5
DNAJB4,DNAJB4,unreviewed,Homo sapiens (Human),C9JUL4
CLN6;hCG_23813,CLN6,unreviewed,Homo sapiens (Human),H3BUT1
PDCD10,PDCD10,unreviewed,Homo sapiens (Human),F8WDF3
CNOT2,CNOT2,unreviewed,Homo sapiens (Human),A0A087X050
NECAP2,NECAP2,reviewed,Homo sapiens (Human),Q9NVZ3
TIMM50,TIMM50,unreviewed,Homo sapiens (Human),M0R2F8
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1W2PPW8
CCM2,CCM2,unreviewed,Homo sapiens (Human),A0A3B3IRS0
ATP5PD,ATP5PD,unreviewed,Homo sapiens (Human),F5H608
FTL,FTL,reviewed,Homo sapiens (Human),P02792
PLRG1,PLRG1,reviewed,Homo sapiens (Human),O43660
APOA1,APOA1,reviewed,Homo sapiens (Human),P02647
ABI3BP,ABI3BP,unreviewed,Homo sapiens (Human),H7C4N5
BET1,BET1,reviewed,Homo sapiens (Human),O15155
KLC1,KLC1,unreviewed,Homo sapiens (Human),F8W6L3
SCYL2,SCYL2,unreviewed,Homo sapiens (Human),F8VSC5
COL16A1,COL16A1,unreviewed,Homo sapiens (Human),A6NCT7
CRYBG1,CRYBG1,unreviewed,Homo sapiens (Human),A0A0J9YWL0
NUP35;MP44;NUP53,NUP35,reviewed,Homo sapiens (Human),Q8NFH5
SDC2,SDC2,unreviewed,Homo sapiens (Human),E9PBI9
SLC16A1;hCG_37455,SLC16A1,unreviewed,Homo sapiens (Human),Q5T8R5
NUP85,NUP85,unreviewed,Homo sapiens (Human),J3QLV0
NME3,NME3,reviewed,Homo sapiens (Human),Q13232
HLA-B;HLAB,HLA-B,reviewed,Homo sapiens (Human),P01889
DCTN1,DCTN1,unreviewed,Homo sapiens (Human),C9JJN7
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZI40
ANLN,ANLN,reviewed,Homo sapiens (Human),Q9NQW6
DAAM2,DAAM2,unreviewed,Homo sapiens (Human),F2Z2Q2
BROX,BROX,unreviewed,Homo sapiens (Human),F5GXQ0
RACK1,RACK1,unreviewed,Homo sapiens (Human),H0Y8W2
P2RX4,P2RX4,unreviewed,Homo sapiens (Human),F5H1M6
TRAP1,TRAP1,unreviewed,Homo sapiens (Human),I3L239
DMD,DMD,unreviewed,Homo sapiens (Human),A0A087WTU7
SHMT2,SHMT2,unreviewed,Homo sapiens (Human),G3V2Y1
SEC14L1,SEC14L1,unreviewed,Homo sapiens (Human),K7ERB3
MRPL2;CGI-22,MRPL2,reviewed,Homo sapiens (Human),Q5T653
IGBP1;IBP1,IGBP1,reviewed,Homo sapiens (Human),P78318
HNRNPM;HNRPM;NAGR1,HNRNPM,reviewed,Homo sapiens (Human),P52272
EPS8,EPS8,unreviewed,Homo sapiens (Human),F5H1B5
U2SURP,U2SURP,unreviewed,Homo sapiens (Human),H7C4V2
ABHD12,ABHD12,unreviewed,Homo sapiens (Human),I3L1V0
TSC2,TSC2,unreviewed,Homo sapiens (Human),A0A2R8YDZ2
CELF1;BRUNOL2;CUGBP;CUGBP1;NAB50,CELF1,reviewed,Homo sapiens (Human),Q92879
RPL10;DXS648E;QM,RPL10,reviewed,Homo sapiens (Human),P27635
MOSPD2,MOSPD2,unreviewed,Homo sapiens (Human),R4GMW5
AGL,AGL,unreviewed,Homo sapiens (Human),A0A1C7CYW1
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),F8VY35
AP1S2,AP1S2,unreviewed,Homo sapiens (Human),H7BZG6
ASCC1,ASCC1,unreviewed,Homo sapiens (Human),H0YER2
KPNA1,KPNA1,unreviewed,Homo sapiens (Human),C9J4U1
CERS2,CERS2,unreviewed,Homo sapiens (Human),H0YKH6
PSMC3,PSMC3,unreviewed,Homo sapiens (Human),E9PM69
TMEM230,TMEM230,unreviewed,Homo sapiens (Human),A0A087WTT2
RPA1,RPA1,unreviewed,Homo sapiens (Human),I3L524
SNRPD2,SNRPD2,unreviewed,Homo sapiens (Human),K7ERG4
EHBP1;KIAA0903;NACSIN,EHBP1,reviewed,Homo sapiens (Human),Q8NDI1
AP2A2,AP2A2,unreviewed,Homo sapiens (Human),A0A0G2JRS3
PPP1R8;ARD1;NIPP1,PPP1R8,reviewed,Homo sapiens (Human),Q12972
RAI14,RAI14,unreviewed,Homo sapiens (Human),D6RBW6
S100A8;CAGA;CFAG;MRP8,S100A8,reviewed,Homo sapiens (Human),P05109
PIH1D1;NOP17,PIH1D1,reviewed,Homo sapiens (Human),Q9NWS0
SRPK1,SRPK1,unreviewed,Homo sapiens (Human),H0Y932
AZI2,AZI2,unreviewed,Homo sapiens (Human),C9JVK8
UBR7,UBR7,unreviewed,Homo sapiens (Human),G3V336
ST13;AAG2;FAM10A1;HIP;SNC6,ST13,reviewed,Homo sapiens (Human),P50502
DLAT,DLAT,unreviewed,Homo sapiens (Human),H0YDD4
SUMF2,SUMF2,unreviewed,Homo sapiens (Human),J3QT17
,,unreviewed,Homo sapiens (Human),B3KTU7
RRP1B;KIAA0179,RRP1B,reviewed,Homo sapiens (Human),Q14684
LAMB2;LAMS,LAMB2,reviewed,Homo sapiens (Human),P55268
HMGA1;HMGIY,HMGA1,reviewed,Homo sapiens (Human),P17096
NMRAL1,NMRAL1,unreviewed,Homo sapiens (Human),I3L0Y6
ACADM,ACADM,unreviewed,Homo sapiens (Human),E9PRX4
NDUFAF7;C2orf56;PRO1853,NDUFAF7,reviewed,Homo sapiens (Human),Q7L592
OPLAH,OPLAH,reviewed,Homo sapiens (Human),O14841
ATL2,ATL2,unreviewed,Homo sapiens (Human),C9JC25
PDCD5,PDCD5,unreviewed,Homo sapiens (Human),Q3HM38
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZHL9
FLYWCH2,FLYWCH2,unreviewed,Homo sapiens (Human),I3L1Y9
STK4;KRS2;MST1,STK4,reviewed,Homo sapiens (Human),Q13043
NCK1,NCK1,unreviewed,Homo sapiens (Human),C9J869
TMEM185B;FAM11B,TMEM185B,reviewed,Homo sapiens (Human),Q9H7F4
RACK1,RACK1,unreviewed,Homo sapiens (Human),D6RFX4
TMTC3,TMTC3,reviewed,Homo sapiens (Human),Q6ZXV5
DARS2,DARS2,reviewed,Homo sapiens (Human),Q6PI48
LRBA,LRBA,unreviewed,Homo sapiens (Human),A0A494BZW2
NFIX,NFIX,unreviewed,Homo sapiens (Human),K7EJB0
EPB41L2,EPB41L2,unreviewed,Homo sapiens (Human),E9PPC9
HNRNPH1,HNRNPH1,unreviewed,Homo sapiens (Human),D6RIT2
,,unreviewed,Homo sapiens (Human),A0A0B4J293
LARP4,LARP4,unreviewed,Homo sapiens (Human),F8VNV1
HNRNPC,HNRNPC,unreviewed,Homo sapiens (Human),G3V555
H1-4;H1F4;HIST1H1E,H1-4,reviewed,Homo sapiens (Human),P10412
TBCC,TBCC,reviewed,Homo sapiens (Human),Q15814
ZC3H18,ZC3H18,unreviewed,Homo sapiens (Human),H3BP01
HEXA,HEXA,unreviewed,Homo sapiens (Human),H3BU85
BCS1L,BCS1L,unreviewed,Homo sapiens (Human),C9JAS4
GOSR2;GS27,GOSR2,reviewed,Homo sapiens (Human),O14653
DCK,DCK,reviewed,Homo sapiens (Human),P27707
LSM12,LSM12,reviewed,Homo sapiens (Human),Q3MHD2
AMPD2,AMPD2,unreviewed,Homo sapiens (Human),E9PJF6
C9orf64,C9orf64,reviewed,Homo sapiens (Human),Q5T6V5
CCDC88A,CCDC88A,unreviewed,Homo sapiens (Human),A0A2R8Y4W8
CAMK2D,CAMK2D,unreviewed,Homo sapiens (Human),E9PBG7
FBXO6;FBG2;FBS2;FBX6,FBXO6,reviewed,Homo sapiens (Human),Q9NRD1
FNTA,FNTA,unreviewed,Homo sapiens (Human),E9PQP6
CLCC1;KIAA0761;MCLC,CLCC1,reviewed,Homo sapiens (Human),Q96S66
REXO4,REXO4,unreviewed,Homo sapiens (Human),A0A0C4DG31
TXNRD2,TXNRD2,unreviewed,Homo sapiens (Human),A0A0U1RQX0
PNKP,PNKP,reviewed,Homo sapiens (Human),Q96T60
ELP3,ELP3,unreviewed,Homo sapiens (Human),E5RIZ7
PDCD6IP;AIP1;ALIX;KIAA1375,PDCD6IP,reviewed,Homo sapiens (Human),Q8WUM4
GALK2,GALK2,unreviewed,Homo sapiens (Human),H0YLL3
EPG5;KIAA1632,EPG5,reviewed,Homo sapiens (Human),Q9HCE0
MSH6,MSH6,unreviewed,Homo sapiens (Human),A0A494C0M1
RPL19;hCG_31402,RPL19,unreviewed,Homo sapiens (Human),J3KTE4
EPHA2;ECK,EPHA2,reviewed,Homo sapiens (Human),P29317
HLA-A,HLA-A,unreviewed,Homo sapiens (Human),A0A140T8Y4
NUMB,NUMB,unreviewed,Homo sapiens (Human),G3V3R1
TOMM40;C19orf1;PEREC1;TOM40,TOMM40,reviewed,Homo sapiens (Human),O96008
AARSD1,AARSD1,reviewed,Homo sapiens (Human),Q9BTE6
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZHE2
RAB35,RAB35,unreviewed,Homo sapiens (Human),F5H157
PON2;hCG_1640820,PON2,unreviewed,Homo sapiens (Human),A0A0J9YXF2
DPM1,DPM1,unreviewed,Homo sapiens (Human),H0Y368
IK,IK,unreviewed,Homo sapiens (Human),E7EQZ7
EXOC6B;KIAA0919;SEC15B;SEC15L2,EXOC6B,reviewed,Homo sapiens (Human),Q9Y2D4
LTA4H;LTA4,LTA4H,reviewed,Homo sapiens (Human),P09960
PSD3,PSD3,unreviewed,Homo sapiens (Human),A0A087X1Z0
MYL12B;MRLC2;MYLC2B,MYL12B,reviewed,Homo sapiens (Human),O14950
CBX5,CBX5,unreviewed,Homo sapiens (Human),F8VNY3
UBE2E1,UBE2E1,unreviewed,Homo sapiens (Human),C9J2P0
MYO18A;CD245;KIAA0216;MYSPDZ,MYO18A,reviewed,Homo sapiens (Human),Q92614
GPI,GPI,unreviewed,Homo sapiens (Human),K7EPY4
PDCD5,PDCD5,unreviewed,Homo sapiens (Human),K7EQA1
C1S,C1S,reviewed,Homo sapiens (Human),P09871
PHGDH,PHGDH,unreviewed,Homo sapiens (Human),A0A286YFF3
DNMT1,DNMT1,unreviewed,Homo sapiens (Human),K7ENW7
SRSF7;SFRS7,SRSF7,reviewed,Homo sapiens (Human),Q16629
SDSL,SDSL,reviewed,Homo sapiens (Human),Q96GA7
TUBB3;hCG_1983504,TUBB3,unreviewed,Homo sapiens (Human),G3V2N6
GMPPA,GMPPA,unreviewed,Homo sapiens (Human),A0A087WUI8
SUMF2,SUMF2,unreviewed,Homo sapiens (Human),F8WA42
MGST3,MGST3,reviewed,Homo sapiens (Human),O14880
UBR1,UBR1,unreviewed,Homo sapiens (Human),A0A087WTJ9
HMGCLL1;hCG_2001183,HMGCLL1,unreviewed,Homo sapiens (Human),G5E9S9
BABAM1,BABAM1,unreviewed,Homo sapiens (Human),M0R2I2
ZC3HAV1,ZC3HAV1,unreviewed,Homo sapiens (Human),H7C5K1
PRPS2,PRPS2,reviewed,Homo sapiens (Human),P11908
AMDHD2,AMDHD2,unreviewed,Homo sapiens (Human),H3BT49
CD9,CD9,unreviewed,Homo sapiens (Human),G8JLH6
STXBP1,STXBP1,unreviewed,Homo sapiens (Human),A0A1B0GVV9
CRYZL1,CRYZL1,unreviewed,Homo sapiens (Human),H7C3I5
VDAC3,VDAC3,reviewed,Homo sapiens (Human),Q9Y277
ABHD16A,ABHD16A,unreviewed,Homo sapiens (Human),A0A0G2JI89
SIN3A,SIN3A,unreviewed,Homo sapiens (Human),H3BNZ3
WDR36,WDR36,reviewed,Homo sapiens (Human),Q8NI36
TOP2A;TOP2,TOP2A,reviewed,Homo sapiens (Human),P11388
DIAPH2;DIA,DIAPH2,reviewed,Homo sapiens (Human),O60879
MDH1,MDH1,unreviewed,Homo sapiens (Human),B9A041
,,unreviewed,Homo sapiens (Human),A0A3B3IS24
DCLK1;DCAMKL1;DCDC3A;KIAA0369,DCLK1,reviewed,Homo sapiens (Human),O15075
HTT,HTT,unreviewed,Homo sapiens (Human),H0YA07
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1W2PPG5
ABCE1;RLI;RNASEL1;RNASELI;RNS4I;OK/SW-cl.40,ABCE1,reviewed,Homo sapiens (Human),P61221
ATP5F1A;ATP5A;ATP5A1;ATP5AL2;ATPM,ATP5F1A,reviewed,Homo sapiens (Human),P25705
ATP6V0A2,ATP6V0A2,reviewed,Homo sapiens (Human),Q9Y487
FABP5P3;FABP5L3,FABP5P3,reviewed,Homo sapiens (Human),A8MUU1
SRGAP2,SRGAP2,unreviewed,Homo sapiens (Human),A0A075B7E6
CSNK2A1;CK2A1,CSNK2A1,reviewed,Homo sapiens (Human),P68400
MAFF,MAFF,unreviewed,Homo sapiens (Human),B0QY71
CLASP1,CLASP1,unreviewed,Homo sapiens (Human),F8WA11
AP1G1,AP1G1,unreviewed,Homo sapiens (Human),H3BN75
DCN,DCN,unreviewed,Homo sapiens (Human),H0YIH3
SLC16A3,SLC16A3,unreviewed,Homo sapiens (Human),J3QRA0
MAP2K3,MAP2K3,unreviewed,Homo sapiens (Human),E9PRZ0
HACD3,HACD3,unreviewed,Homo sapiens (Human),H3BRL8
CRNKL1;CRN;CGI-201;MSTP021,CRNKL1,reviewed,Homo sapiens (Human),Q9BZJ0
TACC1,TACC1,unreviewed,Homo sapiens (Human),E5RJG6
RBM6,RBM6,unreviewed,Homo sapiens (Human),F8WF63
RRAGC,RRAGC,reviewed,Homo sapiens (Human),Q9HB90
BLVRB,BLVRB,unreviewed,Homo sapiens (Human),A0A2R8YEP4
UCHL3;hCG_29571,UCHL3,unreviewed,Homo sapiens (Human),A0A087WTB8
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZI15
RPS3A,RPS3A,unreviewed,Homo sapiens (Human),H0Y9Y4
GNA13,GNA13,reviewed,Homo sapiens (Human),Q14344
TPRG1L;FAM79A;MOVER,TPRG1L,reviewed,Homo sapiens (Human),Q5T0D9
PTBP1,PTBP1,unreviewed,Homo sapiens (Human),K7EKJ7
STK39;SPAK,STK39,reviewed,Homo sapiens (Human),Q9UEW8
SASH1;KIAA0790;PEPE1,SASH1,reviewed,Homo sapiens (Human),O94885
TCEA1;GTF2S;TFIIS,TCEA1,reviewed,Homo sapiens (Human),P23193
RANBP1,RANBP1,unreviewed,Homo sapiens (Human),F6WQW2
NAV1,NAV1,unreviewed,Homo sapiens (Human),A0A0A0MRJ3
ATP6V0A1,ATP6V0A1,unreviewed,Homo sapiens (Human),B7Z641
SCARB2,SCARB2,unreviewed,Homo sapiens (Human),A0A1W2PPX5
CSNK2A3;CSNK2A1P,CSNK2A3,reviewed,Homo sapiens (Human),Q8NEV1
CALCOCO2,CALCOCO2,unreviewed,Homo sapiens (Human),D6RF70
ARHGEF1,ARHGEF1,unreviewed,Homo sapiens (Human),M0R2C7
HDGFL3,HDGFL3,unreviewed,Homo sapiens (Human),H3BPM9
AACS;ACSF1,AACS,reviewed,Homo sapiens (Human),Q86V21
MFF,MFF,unreviewed,Homo sapiens (Human),E9PPW6
ITGA3;MSK18,ITGA3,reviewed,Homo sapiens (Human),P26006
AKT2,AKT2,unreviewed,Homo sapiens (Human),M0R0P9
MYO9B,MYO9B,unreviewed,Homo sapiens (Human),M0R332
UTP25;C1orf107;DEF;DIEXF,UTP25,reviewed,Homo sapiens (Human),Q68CQ4
CHD1L,CHD1L,unreviewed,Homo sapiens (Human),A0A494C1F7
EPN2,EPN2,unreviewed,Homo sapiens (Human),J3QLN2
BLOC1S1,BLOC1S1,unreviewed,Homo sapiens (Human),G8JLQ3
TRIM5,TRIM5,unreviewed,Homo sapiens (Human),E7EQQ5
FAM91A1,FAM91A1,unreviewed,Homo sapiens (Human),H0YBR6
GPI,GPI,unreviewed,Homo sapiens (Human),K7ERC6
ZMIZ2,ZMIZ2,unreviewed,Homo sapiens (Human),F8WC48
OSGEP,OSGEP,unreviewed,Homo sapiens (Human),G3V445
PTPA,PTPA,unreviewed,Homo sapiens (Human),B7ZBP9
CEP55;C10orf3;URCC6,CEP55,reviewed,Homo sapiens (Human),Q53EZ4
DCK,DCK,unreviewed,Homo sapiens (Human),D6RG38
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A0A6YY92
FAM120A;C9orf10;KIAA0183;OSSA,FAM120A,reviewed,Homo sapiens (Human),Q9NZB2
HMGN1,HMGN1,unreviewed,Homo sapiens (Human),A6NEL0
MYO1B,MYO1B,unreviewed,Homo sapiens (Human),H7C2Y7
CYP1B1,CYP1B1,unreviewed,Homo sapiens (Human),A0A087WUQ7
PIGG,PIGG,unreviewed,Homo sapiens (Human),D6RFE8
SMTN,SMTN,unreviewed,Homo sapiens (Human),A0A087WVP4
ACTR3,ACTR3,unreviewed,Homo sapiens (Human),F8WEW2
UQCRFS1,UQCRFS1,reviewed,Homo sapiens (Human),P47985
TBC1D8B,TBC1D8B,unreviewed,Homo sapiens (Human),J3KN75
UBXN4,UBXN4,unreviewed,Homo sapiens (Human),F8WB86
,,unreviewed,Homo sapiens (Human),B4DK25
HDAC7,HDAC7,unreviewed,Homo sapiens (Human),C9JNI4
TP53I11,TP53I11,unreviewed,Homo sapiens (Human),E9PS55
RBM6,RBM6,unreviewed,Homo sapiens (Human),C9JSL1
SDCBP,SDCBP,unreviewed,Homo sapiens (Human),B4DHN5
COTL1,COTL1,unreviewed,Homo sapiens (Human),H3BT58
RIN1,RIN1,unreviewed,Homo sapiens (Human),E9PNR2
ANXA3;ANX3,ANXA3,reviewed,Homo sapiens (Human),P12429
ATP6V1D,ATP6V1D,unreviewed,Homo sapiens (Human),H0YJ55
ARHGAP1;CDC42GAP;RHOGAP1,ARHGAP1,reviewed,Homo sapiens (Human),Q07960
LAMA4,LAMA4,unreviewed,Homo sapiens (Human),E5RHF3
CORO7,CORO7,unreviewed,Homo sapiens (Human),I3NI06
SMAD4,SMAD4,unreviewed,Homo sapiens (Human),K7ES96
MCM4,MCM4,unreviewed,Homo sapiens (Human),A0A3B3ISC1
RER1;hCG_24604,RER1,unreviewed,Homo sapiens (Human),Q5T091
SMARCA2;BAF190B;BRM;SNF2A;SNF2L2,SMARCA2,reviewed,Homo sapiens (Human),P51531
SETDB1,SETDB1,unreviewed,Homo sapiens (Human),E9PQM8
WLS,WLS,unreviewed,Homo sapiens (Human),E9PQK1
NUP205,NUP205,unreviewed,Homo sapiens (Human),U3KPX2
USP48,USP48,unreviewed,Homo sapiens (Human),E9PJH5
TUBA3D,TUBA3D,reviewed,Homo sapiens (Human),P0DPH8
SYNM,SYNM,unreviewed,Homo sapiens (Human),C9JIE4
THOC1,THOC1,unreviewed,Homo sapiens (Human),A0A087WWS1
PNPLA6,PNPLA6,unreviewed,Homo sapiens (Human),A0A384DVU0
EIF3K,EIF3K,unreviewed,Homo sapiens (Human),K7ES31
DLG1,DLG1,unreviewed,Homo sapiens (Human),A8MUT6
SIRT2,SIRT2,unreviewed,Homo sapiens (Human),F8WF57
MICAL1,MICAL1,unreviewed,Homo sapiens (Human),Q5TED7
TMEM222;C1orf160;hCG_96585,TMEM222,unreviewed,Homo sapiens (Human),H0Y861
NSDHL,NSDHL,unreviewed,Homo sapiens (Human),C9JDR0
TYMP,TYMP,unreviewed,Homo sapiens (Human),A0A494C1L9
RHOC,RHOC,unreviewed,Homo sapiens (Human),Q5JR08
GNA14,GNA14,reviewed,Homo sapiens (Human),O95837
AKAP9,AKAP9,unreviewed,Homo sapiens (Human),H7BYL6
CCDC25,CCDC25,reviewed,Homo sapiens (Human),Q86WR0
FARP2,FARP2,unreviewed,Homo sapiens (Human),C9JWM9
CLN6,CLN6,unreviewed,Homo sapiens (Human),H3BTY4
HAT1,HAT1,unreviewed,Homo sapiens (Human),F8WEW1
DNMT1;AIM;CXXC9;DNMT,DNMT1,reviewed,Homo sapiens (Human),P26358
AQR;KIAA0560,AQR,reviewed,Homo sapiens (Human),O60306
ERGIC2,ERGIC2,unreviewed,Homo sapiens (Human),A0A087WU02
PHGDH;PGDH3,PHGDH,reviewed,Homo sapiens (Human),O43175
SEC13;D3S1231E;SEC13A;SEC13L1;SEC13R,SEC13,reviewed,Homo sapiens (Human),P55735
TSPAN6;TM4SF6;UNQ767/PRO1560,TSPAN6,reviewed,Homo sapiens (Human),O43657
GALM,GALM,unreviewed,Homo sapiens (Human),H7C1B5
CKAP5;KIAA0097,CKAP5,reviewed,Homo sapiens (Human),Q14008
TRAPPC13,TRAPPC13,unreviewed,Homo sapiens (Human),D6RB83
DCD;AIDD;DSEP,DCD,reviewed,Homo sapiens (Human),P81605
UBE2Z,UBE2Z,unreviewed,Homo sapiens (Human),I3L4C5
PRPSAP2,PRPSAP2,unreviewed,Homo sapiens (Human),C9JDH0
XRCC1,XRCC1,reviewed,Homo sapiens (Human),P18887
WNK1,WNK1,unreviewed,Homo sapiens (Human),F5GWT4
THY1,THY1,unreviewed,Homo sapiens (Human),E9PNQ8
PTDSS1;hCG_15747,PTDSS1,unreviewed,Homo sapiens (Human),J3KNR6
GANAB;G2AN;KIAA0088,GANAB,reviewed,Homo sapiens (Human),Q14697
PIN1,PIN1,unreviewed,Homo sapiens (Human),K7EN45
PSME3,PSME3,unreviewed,Homo sapiens (Human),K7EKR3
HSD17B7;hCG_2024989,HSD17B7,unreviewed,Homo sapiens (Human),Q5T249
GRWD1,GRWD1,unreviewed,Homo sapiens (Human),M0QX71
SARS2,SARS2,unreviewed,Homo sapiens (Human),M0QX29
ACSF3,ACSF3,unreviewed,Homo sapiens (Human),F5H362
BUD31,BUD31,unreviewed,Homo sapiens (Human),C9JCD9
KRI1,KRI1,unreviewed,Homo sapiens (Human),H0YFD2
TMEM167A;TMEM167,TMEM167A,reviewed,Homo sapiens (Human),Q8TBQ9
GOLGB1,GOLGB1,reviewed,Homo sapiens (Human),Q14789
CYB5R3,CYB5R3,unreviewed,Homo sapiens (Human),B1AHF3
GRB2,GRB2,unreviewed,Homo sapiens (Human),J3QRL5
EDC4;HEDLS,EDC4,reviewed,Homo sapiens (Human),Q6P2E9
CPSF7,CPSF7,reviewed,Homo sapiens (Human),Q8N684
ACAP2,ACAP2,unreviewed,Homo sapiens (Human),A0A087X1H5
ABI1,ABI1,unreviewed,Homo sapiens (Human),A0A0A0MRT6
LDAH;C2orf43,LDAH,reviewed,Homo sapiens (Human),Q9H6V9
DCUN1D1;hCG_17206,DCUN1D1,unreviewed,Homo sapiens (Human),C9JVE2
CYGB;STAP,CYGB,reviewed,Homo sapiens (Human),Q8WWM9
,,unreviewed,Homo sapiens (Human),B7ZB02
RAB27B,RAB27B,unreviewed,Homo sapiens (Human),K7EJ38
TPM1,TPM1,unreviewed,Homo sapiens (Human),H0YL42
YIF1A,YIF1A,unreviewed,Homo sapiens (Human),E9PS11
NOL11;L14,NOL11,reviewed,Homo sapiens (Human),Q9H8H0
CBWD3,CBWD3,unreviewed,Homo sapiens (Human),A0A0A0MRU4
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1W2PQ38
CSDE1,CSDE1,unreviewed,Homo sapiens (Human),E9PLD4
SLC22A18;BWR1A;BWSCR1A;HET;IMPT1;ITM;ORCTL2;SLC22A1L;TSSC5,SLC22A18,reviewed,Homo sapiens (Human),Q96BI1
LPCAT2,LPCAT2,unreviewed,Homo sapiens (Human),H3BU68
USP19,USP19,unreviewed,Homo sapiens (Human),A0A0A0MR08
SCYL1,SCYL1,unreviewed,Homo sapiens (Human),E9PPN3
USP10,USP10,unreviewed,Homo sapiens (Human),H3BVF1
ANXA11,ANXA11,unreviewed,Homo sapiens (Human),H0Y6E1
COPZ1,COPZ1,unreviewed,Homo sapiens (Human),F8VUC5
PEA15,PEA15,reviewed,Homo sapiens (Human),Q15121
STAT1,STAT1,unreviewed,Homo sapiens (Human),H7BZB5
TRAPPC12,TRAPPC12,unreviewed,Homo sapiens (Human),H0Y550
PRPF4;PRP4,PRPF4,reviewed,Homo sapiens (Human),O43172
STK17B,STK17B,unreviewed,Homo sapiens (Human),U3KQF8
NUB1;NYREN18;hCG_19587,NUB1,unreviewed,Homo sapiens (Human),H3BM14
PPP3CC,PPP3CC,unreviewed,Homo sapiens (Human),E5RJH4
SH3GL1;CNSA1;SH3D2B,SH3GL1,reviewed,Homo sapiens (Human),Q99961
WIPI1;hCG_28468,WIPI1,unreviewed,Homo sapiens (Human),G5EA37
FBLN1,FBLN1,unreviewed,Homo sapiens (Human),B1AHM6
TDP1,TDP1,reviewed,Homo sapiens (Human),Q9NUW8
MTMR1,MTMR1,unreviewed,Homo sapiens (Human),H7BZJ1
ACTB,ACTB,unreviewed,Homo sapiens (Human),C9JUM1
CNOT2,CNOT2,unreviewed,Homo sapiens (Human),F8VUB4
ARFGAP2;ZNF289;hCG_1811553,ARFGAP2,unreviewed,Homo sapiens (Human),A0A0D9SF70
AGAP3,AGAP3,unreviewed,Homo sapiens (Human),H7C4U6
SLAIN2;KIAA1458,SLAIN2,reviewed,Homo sapiens (Human),Q9P270
SPATS2L,SPATS2L,unreviewed,Homo sapiens (Human),F8VT91
C15orf40,C15orf40,unreviewed,Homo sapiens (Human),H3BQZ5
STAT1,STAT1,unreviewed,Homo sapiens (Human),E7ENM1
SRSF9,SRSF9,unreviewed,Homo sapiens (Human),H0YIB4
TALDO1,TALDO1,unreviewed,Homo sapiens (Human),E9PKI8
CARHSP1,CARHSP1,unreviewed,Homo sapiens (Human),H3BNU9
P4HB;ERBA2L;PDI;PDIA1;PO4DB,P4HB,reviewed,Homo sapiens (Human),P07237
ASCC1;CGI-18,ASCC1,reviewed,Homo sapiens (Human),Q8N9N2
ZNF800,ZNF800,unreviewed,Homo sapiens (Human),A0A087WXB4
TNFAIP3,TNFAIP3,unreviewed,Homo sapiens (Human),D3TTY5
DERL1,DERL1,unreviewed,Homo sapiens (Human),E5RGY0
HLA-A,HLA-A,unreviewed,Homo sapiens (Human),Q5SRN5
CBWD5,CBWD5,unreviewed,Homo sapiens (Human),Q5RIB0
PCNA,PCNA,reviewed,Homo sapiens (Human),P12004
G3BP1,G3BP1,unreviewed,Homo sapiens (Human),E5RH42
WASHC3,WASHC3,unreviewed,Homo sapiens (Human),F5GWI9
NCALD,NCALD,unreviewed,Homo sapiens (Human),E5RIA5
SLC29A1,SLC29A1,unreviewed,Homo sapiens (Human),A0A2R8YFI6
UMPS;OK/SW-cl.21,UMPS,reviewed,Homo sapiens (Human),P11172
ZMPSTE24;FACE1;STE24,ZMPSTE24,reviewed,Homo sapiens (Human),O75844
DENND4C,DENND4C,unreviewed,Homo sapiens (Human),R4GMN2
